Identifier Name,FINAL GRAMMAR PATTERN,POSSE,SWUM,STANFORD,system,language
"ares,expand,name,for,response",PRE V N P N,V NM N P N,{'grpc.srcml.xml_identifiers'}
"bke,lattice,index,flip",PRE NM N V,V NM NM N,{'blender.srcml.xml_identifiers'}
"bli,str,r,strip",PRE N VM V,V NM NM N,{'blender.srcml.xml_identifiers'}
"delete,input",V N,V N,{'grpc.srcml.xml_identifiers'}
"dialog,info,update",NM N V,V NM N,{'gimp.srcml.xml_identifiers'}
"dump,cemd,cmd",V NM N,V NM N,{'openFrameworks.srcml.xml_identifiers'}
"dump,frame,buffer,formats",V NM NM NPL,V NM NM N,{'irrlicht.srcml.xml_identifiers'}
"get,dmf,header",V NM N,V NM N,{'irrlicht.srcml.xml_identifiers'}
"get,meta,index",V NM N,V NM N,{'Telegram.srcml.xml_identifiers'}
"get,plane,point",V NM N,V NM N,{'ogre.srcml.xml_identifiers'}
"gimp,canvas,rectangle,set,property",PRE NM N V N,V NM NM NM N,{'gimp.srcml.xml_identifiers'}
"gimp,devices,check,change",PRE NPL V V,V NM NM N,{'gimp.srcml.xml_identifiers'}
"gimp,eraser,default",PRE N NM,V NM N,{'gimp.srcml.xml_identifiers'}
"gimp,filter,tool,set,gyroscope",PRE NM N V N,V NM NM NM N,{'gimp.srcml.xml_identifiers'}
"gimp,image,file,get,thumbnail",PRE NM N V N,V NM NM NM N,{'gimp.srcml.xml_identifiers'}
"gimp,param,drawable,id,init",PRE NM NM N V,V NM NM NM N,{'gimp.srcml.xml_identifiers'}
"gimp,selection,tool,class,init",PRE NM NM N V,V NM NM NM N,{'gimp.srcml.xml_identifiers'}
"gimp,status,bar,progress,canceled",PRE NM NM N V,NM NM NM N P,{'gimp.srcml.xml_identifiers'}
"gimp,value,set,int32,array",PRE N V NM N,V NM NM NM D N,{'gimp.srcml.xml_identifiers'}
"gimp,wire,compare",PRE N V,V NM N,{'gimp.srcml.xml_identifiers'}
"gpencil,primitive,modal",NM NM N,NM NM N,{'blender.srcml.xml_identifiers'}
"ico,load,layer",PRE V N,V NM N,{'gimp.srcml.xml_identifiers'}
"imb,stereo3d,read,interlace",PRE NM V N,V NM D NM NM N,{'blender.srcml.xml_identifiers'}
"is,canon",V N,V N,{'blender.srcml.xml_identifiers'}
"layer,get,composite,mode,invoker",NM V NM NM N,V NM NM NM N,{'gimp.srcml.xml_identifiers'}
"nla,invert,combine,value",NM V NM N,V NM NM N,{'blender.srcml.xml_identifiers'}
"palette,poll",N V,NM N,{'blender.srcml.xml_identifiers'}
"path,with,native,separators",N P NM NPL,NM NM NM N,{'kdevelop.srcml.xml_identifiers'}
"png,do,strip,channel",NM V V N,PRE V V N,{'irrlicht.srcml.xml_identifiers'}
"png,get,row,bytes",NM V NM NPL,PRE V NM N,{'irrlicht.srcml.xml_identifiers'}
"png,get,rows",NM V NPL,PRE V N,{'irrlicht.srcml.xml_identifiers'}
"png,get,unknown,chunks",NM V NM NPL,PRE V NM N,{'irrlicht.srcml.xml_identifiers'}
"png,init,palette,transformations",NM V NM NPL,PRE V NM N,{'irrlicht.srcml.xml_identifiers'}
"png,read,idat,data",NM V NM N,PRE V NM N,{'irrlicht.srcml.xml_identifiers'}
"pnm,load,raw,pfm",NM V NM N,V NM NM N,{'gimp.srcml.xml_identifiers'}
"pybullet,compute,view,matrix",PRE V NM N,V NM NM N,{'bullet3.srcml.xml_identifiers'}
"read,subframe",V N,V N,{'Telegram.srcml.xml_identifiers'}
"render,result,exr,file,end",V NM NM NM N,V NM NM NM N,{'blender.srcml.xml_identifiers'}
"reset,token,stats",V NM NPL,V NM N,{'Telegram.srcml.xml_identifiers'}
"saturated,cast",NM N,V N,{'Telegram.srcml.xml_identifiers'}
"set,add,faces,points",V V NM NPL,V NM NM N,{'bullet3.srcml.xml_identifiers'}
"silk,bw,expander,32",NM NM N D,NM NM N D,{'Telegram.srcml.xml_identifiers'}
"sqlite3,session,config",PRE N V,V D NM N,{'Telegram.srcml.xml_identifiers'}
"sqlite3,walk,expr,list",PRE V NM N,V D NM NM N,{'Telegram.srcml.xml_identifiers'}
"stmt,close",N V,V N,{'Telegram.srcml.xml_identifiers'}
"tiff,current,tile",NM NM N,NM NM N,{'opencv.srcml.xml_identifiers'}
"tiff,get,size,proc",NM V NM N,NM V NM N,{'opencv.srcml.xml_identifiers'}
"unpack,texture,blend,func",V NM NM N,V NM NM N,{'irrlicht.srcml.xml_identifiers'}
"write,tcp,data",V NM N,V NM N,{'grpc.srcml.xml_identifiers'}
"always,preview",VM V,NM N,{'gimp.srcml.xml_identifiers'}
"animation,box",NM N,NM N,{'gimp.srcml.xml_identifiers'}
"avg,1",N D,NM N,{'opencv.srcml.xml_identifiers'}
"best,b",NM N,NM N,{'gimp.srcml.xml_identifiers'}
"byte,count",NM N,NM N,{'Telegram.srcml.xml_identifiers'}
"compiling,contexts",V NPL,NM N,{'kdevelop.srcml.xml_identifiers'}
"corr,qc",NM N,NM N,{'Telegram.srcml.xml_identifiers'}
"default,look",NM N,NM N,{'blender.srcml.xml_identifiers'}
"dst,saturation",NM N,NM N,{'calligra.srcml.xml_identifiers'}
"element,spec",NM N,NM N,{'gimp.srcml.xml_identifiers'}
"face,index",NM N,NM N,{'blender.srcml.xml_identifiers'}
"forked,iter",V N,NM N,{'blender.srcml.xml_identifiers'}
"identifier,quark",NM N,NM N,{'gimp.srcml.xml_identifiers'}
"idx,u",NM N,NM N,{'blender.srcml.xml_identifiers'}
"inv,unit,scale",NM NM N,NM NM N,{'blender.srcml.xml_identifiers'}
"is,a,empty",V DT N,NM NM N,{'grpc.srcml.xml_identifiers'}
"label,casefold",NM N,NM N,{'gimp.srcml.xml_identifiers'}
"line,1,grad",NM D N,NM NM N,{'gimp.srcml.xml_identifiers'}
"melanin,ofs",NM N,NM N,{'blender.srcml.xml_identifiers'}
"nbr,gaps",NM NPL,NM N,{'blender.srcml.xml_identifiers'}
"nearest,point",NM N,NM N,{'blender.srcml.xml_identifiers'}
"need,fallback",V N,NM N,{'blender.srcml.xml_identifiers'}
"neighbor,pos",NM N,NM N,{'gimp.srcml.xml_identifiers'}
"new,image,height",NM NM N,NM NM N,{'gimp.srcml.xml_identifiers'}
"new,order",NM N,NM N,{'blender.srcml.xml_identifiers'}
"num,primes",NM NPL,NM N,{'Telegram.srcml.xml_identifiers'}
"num,vec,per,segment",NM N P N,NM NM NM N,{'Telegram.srcml.xml_identifiers'}
"num,verts,in,a",NM NPL P N,NM NM NM N,{'bullet3.srcml.xml_identifiers'}
